axis_1	axis_2	id	name	party	info
16.801726443612687	-12.558504163320588	260	Isabelle Valentin	LR	LR
-7.7566841007252165	2.0348135144734267	261	Jacqueline Dubois	LREM	LREM
-2.368164030995693	-0.37957261500038864	262	Jacqueline Maquet	LREM	LREM
10.185515965502795	-5.101334605189776	264	Jacques Cattin	LR	LR
-2.7985091497276398	-1.4200606774433964	265	Jacques Krabal	LREM	LREM
-6.637275010411116	-1.756771353641347	266	Jacques Maire	LREM	LREM
-10.55817872150649	0.32372846945587136	267	Jacques Marilossian	LREM	LREM
-2.354622186230512	-0.216317241961528	268	Jacques Savatier	LREM	LREM
-9.57873410864956	0.7856106000657308	269	Jean François Mbaye	LREM	LREM
12.930365345013378	5.042829412346479	270	Jean Lassalle	Libertés et Territoires	Libertés et Territoires
-13.390291216789421	3.5040857759336466	271	Jean Terlier	LREM	LREM
-2.1058361843695006	7.853388131620168	272	Jean-Baptiste Djebbari	LREM	LREM
-10.272613399895889	0.34478936190118253	273	Jean-Baptiste Moreau	LREM	LREM
-11.878533669173493	1.4933868637357315	274	Jean-Bernard Sempastous	LREM	LREM
9.452422186641646	-2.957827581516012	275	Jean-Carles Grelier	LR	LR
-10.138480712429498	1.5553046285180763	276	Jean-Charles Colas-Roy	LREM	LREM
-3.4463225979941163	0.32614918495354944	277	Jean-Charles Larsonneur	UDI	UDI
9.654274631210598	-2.4261745162444757	278	Jean-Charles Taugourdeau	LR	LR
3.655891793120187	-0.3498514802310361	279	Jean-Christophe Lagarde	UDI	UDI
10.286708782598698	-4.312618576171611	280	Jean-Claude Bouchet	LR	LR
-8.926719581619697	0.33311732180777875	281	Jean-Claude Leclabart	LREM	LREM
-0.8818814543182111	4.414694516706961	282	Jean-François Cesarini	LREM	LREM
-8.650382664220954	0.19677395021461855	283	Jean-François Eliaou	LREM	LREM
10.10619314557058	-3.6955747298022574	284	Jean-François Parigi	LR	LR
-5.207240446383733	-0.13080170463240287	285	Jean-François Portarrieu	LREM	LREM
14.22493636587231	1.256571057882723	286	Jean-Félix Acquaviva	Libertés et Territoires	Libertés et Territoires
19.081136844128032	11.742966211430781	287	Jean-Hugues Ratenon	FI	FI
-9.86817570235002	-0.09081046048975255	288	Jean-Jacques Bridey	LREM	LREM
10.717024337547615	-4.801846971307187	289	Jean-Jacques Ferrara	LR	LR
10.918405201000812	-5.2331735826377175	290	Jean-Jacques Gaultier	LR	LR
-4.527276219565762	0.9306321779882962	291	Jean-Louis Bourlanges		
18.744353971762656	3.356081434634355	292	Jean-Louis Bricout	PS	PS
12.89978669678711	-7.40996800173709	293	Jean-Louis Masson	LR	LR
9.103692311147077	-2.983621136858644	294	Jean-Louis Thiériot	LR	LR
-2.7982322033144675	-0.5204731493177561	295	Jean-Louis Touraine	LREM	LREM
-11.046840654397199	2.2055500484766015	297	Jean-Luc Fugit	LREM	LREM
-5.506186836082204	-1.6052511968543488	298	Jean-Luc Lagleize		
20.500664076162888	13.945975013868217	299	Jean-Luc Mélenchon	FI	FI
9.372237477977642	-2.886173938582628	301	Jean-Luc Reitzer	LR	LR
-0.5165668036273511	0.2537667130007966	302	Jean-Luc Warsmann	UDI	UDI
-12.266785366229264	1.6947551029057475	303	Jean-Marc Zulesi	LREM	LREM
-9.84817305838638	1.2172977087685461	304	Jean-Marie Fiévet	LREM	LREM
10.149469081998047	-4.618532476668351	305	Jean-Marie Sermier	LR	LR
6.476320714089937	3.147205440589305	306	Jean-Michel Clément	Libertés et Territoires	Libertés et Territoires
-8.633341842752044	1.1859801497198768	307	Jean-Michel Fauvergue	LREM	LREM
-9.280836563000435	2.7369231962959577	308	Jean-Michel Jacques	LREM	LREM
-11.197887609538101	1.7439839709511045	309	Jean-Michel Mis	LREM	LREM
-6.756482018973593	-1.3104658617063847	310	Jean-Noël Barrot		
25.993115700969767	7.942523658976784	311	Jean-Paul Dufrègne	Divers Gauche	Divers Gauche
22.0436446798603	10.34764620046702	312	Jean-Paul Lecoq	Divers Gauche	Divers Gauche
